source,target,date,site,MOV,value,,school,wins,loses,Tourney Rank,CBS Rank,My Rank (Out of 64),Rank Delta,Offense Score,Defense Score,MOV,Offense Adjust,Defense Adjust,MOV Adjusted,RPI,CBS SOS,My SOS,Team Value,,,,,,,,,,,,,,,
Creighton,Marquette,Jan. 21,Home,8,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creighton,Marquette,Mar. 4,Away,8,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creighton,Seton Hall,Dec. 28,Home,14,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creighton,Seton Hall,Feb. 15,Away,6,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creighton,Villanova,Dec. 31,Home,10,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creighton,Villanova,Feb. 25,Away,16,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creighton,Villanova,Mar. 11,Neutral,14,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creighton,Wisconsin,Nov. 15,Home,12,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creighton,Xavier,Feb. 4,Home,2,-0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creighton,Xavier,Jan. 16,Away,5,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creighton,Xavier,Mar. 10,Neutral,3,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton,E. Tennessee State,Dec. 10,Home,14,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton,Northwestern,Dec. 17,Neutral,3,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton,Rhode Island,Feb. 10,Away,1,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton,Rhode Island,Jan. 6,Home,3,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton,St. Mary's,Nov. 19,Home,4,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton,Vanderbilt,Dec. 21,Home,5,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton,VCU,Jan. 27,Away,5,-0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton,VCU,Mar. 1,Home,7,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton,Winthrop,Dec. 3,Home,16,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,Florida,Dec. 6,Neutral,10,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,Florida State,Feb. 28,Home,5,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,Florida State,Jan. 10,Away,16,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,Kansas,Nov. 15,Neutral,2,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,Louisville,Jan. 14,Away,9,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,Louisville,Mar. 9,Neutral,4,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,Miami (Fla.),Feb. 25,Away,5,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,Miami (Fla.),Jan. 21,Home,12,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,Michigan State,Nov. 29,Home,9,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,North Carolina,Feb. 9,Home,8,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,North Carolina,Mar. 10,Neutral,10,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,North Carolina,Mar. 4,Away,7,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,Notre Dame,Jan. 30,Away,10,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,Notre Dame,Mar. 11,Neutral,6,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,Rhode Island,Nov. 20,Neutral,10,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,Virginia,Feb. 15,Away,10,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,Virginia Tech,Dec. 31,Away,14,-0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Tennessee State,Dayton,Dec. 10,Away,14,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Tennessee State,South Dakota State,Nov. 26,Neutral,12,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Tennessee State,UNC-Wilmington,Nov. 20,Away,9,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,Arkansas,Dec. 29,Away,9,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,Arkansas,Mar. 1,Home,13,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,Duke,Dec. 6,Neutral,10,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,Florida Gulf Coast,Nov. 11,Neutral,21,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,Florida State,Dec. 11,Away,5,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,Gonzaga,Nov. 25,Neutral,5,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,Kentucky,Feb. 25,Away,10,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,Kentucky,Feb. 4,Home,22,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,Miami (Fla.),Nov. 27,Neutral,9,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,Seton Hall,Nov. 24,Neutral,5,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,South Carolina,Feb. 21,Home,15,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,South Carolina,Jan. 18,Away,4,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,Vanderbilt,Jan. 21,Home,2,-0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,Vanderbilt,Mar. 10,Neutral,10,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,Vanderbilt,Mar. 4,Away,2,-0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Gulf Coast,Baylor,Nov. 18,Away,9,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Gulf Coast,Florida,Nov. 11,Neutral,21,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Gulf Coast,Michigan State,Nov. 20,Away,1,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,Duke,Feb. 28,Away,5,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,Duke,Jan. 10,Home,16,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,Florida,Dec. 11,Home,5,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,Iona,Nov. 15,Home,21,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,Louisville,Jan. 21,Home,5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,Miami (Fla.),Feb. 1,Away,18,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,Miami (Fla.),Mar. 4,Home,9,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,Minnesota,Nov. 28,Home,8,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,North Carolina,Jan. 14,Away,13,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,Notre Dame,Feb. 11,Away,12,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,Notre Dame,Jan. 18,Home,3,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,Notre Dame,Mar. 10,Neutral,4,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,Virginia,Dec. 31,Away,2,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,Virginia Tech,Jan. 7,Home,15,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,Virginia Tech,Mar. 9,Neutral,6,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,Winthrop,Nov. 18,Home,14,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzaga,Arizona,Dec. 3,Neutral,7,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzaga,Florida,Nov. 25,Neutral,5,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzaga,Iowa State,Nov. 27,Neutral,2,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzaga,St. Mary's,Feb. 11,Away,10,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzaga,St. Mary's,Jan. 14,Home,23,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzaga,St. Mary's,Mar. 7,Neutral,18,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iona,Florida State,Nov. 15,Away,21,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iona,Nevada,Nov. 20,Away,15,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iona,Nevada,Nov. 26,Neutral,2,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Baylor,Feb. 25,Home,3,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Baylor,Jan. 4,Away,2,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Cincinnati,Dec. 1,Home,1,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
